   Selected parameters are:
1 Height, km
2 O, cm-3 
3 N2, cm-3
4 O2, cm-3
5 Temperature_neutral, K
6 Temperature_exospheric, K

      1          2          3          4      5     6
  194.0  4.160E+09  4.998E+09  4.469E+08  921.2  1031
  195.0  4.064E+09  4.819E+09  4.289E+08  923.7  1031
  196.0  3.970E+09  4.648E+09  4.116E+08  926.2  1031
  197.0  3.880E+09  4.483E+09  3.951E+08  928.5  1031
  198.0  3.792E+09  4.324E+09  3.793E+08  930.8  1031
  199.0  3.706E+09  4.172E+09  3.642E+08  933.1  1031
  200.0  3.623E+09  4.026E+09  3.498E+08  935.3  1031
  201.0  3.542E+09  3.885E+09  3.362E+08  937.5  1031
  202.0  3.463E+09  3.750E+09  3.230E+08  939.6  1031
  203.0  3.387E+09  3.620E+09  3.103E+08  941.7  1031
  204.0  3.312E+09  3.496E+09  2.982E+08  943.7  1031
  205.0  3.240E+09  3.375E+09  2.866E+08  945.6  1031
  206.0  3.169E+09  3.260E+09  2.755E+08  947.6  1031
  207.0  3.101E+09  3.149E+09  2.649E+08  949.4  1031
  208.0  3.034E+09  3.042E+09  2.547E+08  951.3  1031
  209.0  2.969E+09  2.939E+09  2.449E+08  953.1  1031
  210.0  2.906E+09  2.839E+09  2.355E+08  954.8  1031
  211.0  2.844E+09  2.744E+09  2.266E+08  956.5  1031
  212.0  2.784E+09  2.652E+09  2.179E+08  958.2  1031
  213.0  2.725E+09  2.563E+09  2.097E+08  959.9  1031
  214.0  2.668E+09  2.478E+09  2.018E+08  961.5  1031
  215.0  2.612E+09  2.395E+09  1.942E+08  963.0  1031
  216.0  2.558E+09  2.316E+09  1.869E+08  964.5  1031
  217.0  2.505E+09  2.239E+09  1.799E+08  966.0  1031
  218.0  2.454E+09  2.165E+09  1.731E+08  967.5  1031
  219.0  2.403E+09  2.094E+09  1.667E+08  968.9  1031
  220.0  2.354E+09  2.026E+09  1.605E+08  970.3  1031
  221.0  2.306E+09  1.959E+09  1.545E+08  971.7  1031
  222.0  2.259E+09  1.896E+09  1.488E+08  973.0  1031
  223.0  2.214E+09  1.834E+09  1.433E+08  974.3  1031
  224.0  2.169E+09  1.774E+09  1.381E+08  975.6  1031
  225.0  2.126E+09  1.717E+09  1.330E+08  976.8  1031
  226.0  2.083E+09  1.662E+09  1.281E+08  978.0  1031
  227.0  2.042E+09  1.608E+09  1.234E+08  979.2  1031
  228.0  2.001E+09  1.556E+09  1.189E+08  980.4  1031
  229.0  1.961E+09  1.506E+09  1.146E+08  981.5  1031
  230.0  1.923E+09  1.458E+09  1.104E+08  982.6  1031
  231.0  1.885E+09  1.412E+09  1.064E+08  983.7  1031
  232.0  1.848E+09  1.367E+09  1.026E+08  984.7  1031
  233.0  1.812E+09  1.323E+09  9.887E+07  985.8  1031
  234.0  1.777E+09  1.281E+09  9.531E+07  986.8  1031
  235.0  1.742E+09  1.241E+09  9.188E+07  987.7  1031
  236.0  1.708E+09  1.201E+09  8.858E+07  988.7  1031
  237.0  1.675E+09  1.164E+09  8.541E+07  989.6  1031
  238.0  1.643E+09  1.127E+09  8.235E+07  990.6  1031
  239.0  1.612E+09  1.092E+09  7.941E+07  991.5  1031
  240.0  1.581E+09  1.057E+09  7.658E+07  992.3  1031
  241.0  1.551E+09  1.024E+09  7.386E+07  993.2  1031
  242.0  1.521E+09  9.922E+08  7.123E+07  994.0  1031
  243.0  1.492E+09  9.612E+08  6.871E+07  994.9  1031
  244.0  1.464E+09  9.313E+08  6.627E+07  995.7  1031
  245.0  1.436E+09  9.023E+08  6.393E+07  996.4  1031
  246.0  1.409E+09  8.743E+08  6.167E+07  997.2  1031
  247.0  1.383E+09  8.472E+08  5.950E+07  998.0  1031
  248.0  1.357E+09  8.209E+08  5.741E+07  998.7  1031
  249.0  1.332E+09  7.956E+08  5.539E+07  999.4  1031
