   Selected parameters are:
1 Height, km
2 Electron_density_Ne, m-3
3 Tn, K
4 Ti, K
5 Te, K

       1            2      3      4      5
  221.00  0.19924E+11 1076.0 1076.0 1076.0
  222.00  0.20529E+11 1077.6 1077.6 1077.6
  223.00  0.21151E+11 1079.3 1079.3 1079.3
  224.00  0.21789E+11 1080.8 1080.8 1080.8
  225.00  0.22443E+11 1082.4 1082.4 1082.4
  226.00  0.23113E+11 1083.9 1083.9 1085.3
  227.00  0.23801E+11 1085.4 1085.4 1088.7
  228.00  0.24506E+11 1086.8 1086.8 1092.1
  229.00  0.25229E+11 1088.2 1088.2 1095.5
  230.00  0.25970E+11 1089.6 1089.6 1098.9
  231.00  0.26729E+11 1091.0 1091.0 1102.3
  232.00  0.27507E+11 1092.3 1092.3 1105.7
  233.00  0.28303E+11 1093.6 1093.6 1109.1
  234.00  0.29119E+11 1094.9 1094.9 1112.5
  235.00  0.29954E+11 1096.1 1096.1 1115.9
  236.00  0.30808E+11 1097.3 1097.3 1119.3
  237.00  0.31683E+11 1098.5 1098.9 1122.7
  238.00  0.32578E+11 1099.6 1100.8 1126.1
  239.00  0.33494E+11 1100.8 1102.6 1129.5
  240.00  0.34430E+11 1101.9 1104.4 1132.9
  241.00  0.35387E+11 1102.9 1106.3 1136.3
  242.00  0.36366E+11 1104.0 1108.1 1139.7
  243.00  0.37366E+11 1105.0 1110.0 1143.1
  244.00  0.38388E+11 1106.0 1111.8 1146.5
  245.00  0.39432E+11 1107.0 1113.6 1149.9
  246.00  0.40498E+11 1108.0 1115.5 1153.3
  247.00  0.41587E+11 1108.9 1117.3 1156.7
  248.00  0.42698E+11 1109.8 1119.2 1160.1
  249.00  0.43833E+11 1110.7 1121.0 1163.6
  250.00  0.44990E+11 1111.6 1122.8 1167.0
  251.00  0.46170E+11 1112.5 1124.7 1170.4
  252.00  0.47374E+11 1113.3 1126.5 1173.8
  253.00  0.48601E+11 1114.1 1128.4 1177.2
  254.00  0.49851E+11 1114.9 1130.2 1180.6
  255.00  0.51126E+11 1115.7 1132.0 1184.0
  256.00  0.52424E+11 1116.5 1133.9 1187.4
  257.00  0.53745E+11 1117.2 1135.7 1190.8
  258.00  0.55091E+11 1118.0 1137.6 1194.2
  259.00  0.56460E+11 1118.7 1139.4 1197.6
  260.00  0.57854E+11 1119.4 1141.2 1201.0
  261.00  0.59271E+11 1120.1 1143.1 1204.4
  262.00  0.60712E+11 1120.8 1144.9 1207.8
  263.00  0.62177E+11 1121.4 1146.8 1211.2
  264.00  0.63665E+11 1122.0 1148.6 1214.6
  265.00  0.65177E+11 1122.7 1150.4 1218.0
  266.00  0.66712E+11 1123.3 1152.3 1221.4
  267.00  0.68271E+11 1123.9 1154.1 1224.8
  268.00  0.69852E+11 1124.5 1156.0 1228.2
  269.00  0.71456E+11 1125.0 1157.8 1231.6
  270.00  0.73083E+11 1125.6 1159.6 1235.0
  271.00  0.74732E+11 1126.2 1161.5 1238.4
  272.00  0.76403E+11 1126.7 1163.3 1241.8
  273.00  0.78096E+11 1127.2 1165.2 1245.2
  274.00  0.79809E+11 1127.7 1167.0 1248.6
  275.00  0.81544E+11 1128.2 1168.8 1252.0
  276.00  0.83298E+11 1128.7 1170.7 1255.4
  277.00  0.85073E+11 1129.2 1172.5 1258.8
  278.00  0.86866E+11 1129.7 1174.4 1262.2
  279.00  0.88679E+11 1130.1 1176.2 1265.6
  280.00  0.90509E+11 1130.6 1178.0 1269.0
  281.00  0.92357E+11 1131.0 1179.9 1272.4
  282.00  0.94221E+11 1131.4 1181.7 1275.8
  283.00  0.96101E+11 1131.9 1183.6 1279.2
  284.00  0.97997E+11 1132.3 1185.4 1282.7
  285.00  0.99907E+11 1132.7 1187.2 1286.1
  286.00  0.10183E+12 1133.1 1189.1 1289.5
  287.00  0.10377E+12 1133.5 1190.9 1292.9
  288.00  0.10571E+12 1133.8 1192.8 1296.3
  289.00  0.10767E+12 1134.2 1194.6 1299.7
  290.00  0.10964E+12 1134.6 1196.4 1303.1
  291.00  0.11161E+12 1134.9 1198.3 1306.5
  292.00  0.11360E+12 1135.2 1200.1 1309.9
  293.00  0.11558E+12 1135.6 1202.0 1313.3
  294.00  0.11758E+12 1135.9 1203.8 1316.7
  295.00  0.11957E+12 1136.2 1205.6 1320.1
  296.00  0.12157E+12 1136.5 1207.5 1323.5
  297.00  0.12357E+12 1136.9 1209.3 1326.9
  298.00  0.12557E+12 1137.2 1211.2 1330.3
  299.00  0.12757E+12 1137.4 1213.0 1333.7
  300.00  0.12956E+12 1137.7 1214.8 1337.1
  301.00  0.13155E+12 1138.0 1216.7 1340.5
  302.00  0.13353E+12 1138.3 1218.5 1343.9
  303.00  0.13550E+12 1138.6 1220.4 1347.3
  304.00  0.13746E+12 1138.8 1222.2 1350.7
  305.00  0.13941E+12 1139.1 1224.0 1354.1
  306.00  0.14134E+12 1139.3 1225.9 1357.5
  307.00  0.14326E+12 1139.6 1227.7 1360.9
  308.00  0.14516E+12 1139.8 1229.6 1364.3
  309.00  0.14703E+12 1140.1 1231.4 1367.7
  310.00  0.14889E+12 1140.3 1233.2 1371.1
  311.00  0.15072E+12 1140.5 1235.1 1374.5
  312.00  0.15253E+12 1140.7 1236.9 1377.9
  313.00  0.15430E+12 1140.9 1238.8 1381.3
  314.00  0.15604E+12 1141.2 1240.6 1384.7
  315.00  0.15775E+12 1141.4 1242.4 1388.1
  316.00  0.15942E+12 1141.6 1244.3 1391.5
  317.00  0.16106E+12 1141.8 1246.1 1394.9
  318.00  0.16265E+12 1142.0 1248.0 1398.3
  319.00  0.16419E+12 1142.1 1249.8 1401.7
  320.00  0.16569E+12 1142.3 1251.6 1405.1
  321.00  0.16713E+12 1142.5 1253.5 1408.5
  322.00  0.16852E+12 1142.7 1255.3 1411.9
  323.00  0.16985E+12 1142.9 1257.2 1415.3
  324.00  0.17112E+12 1143.0 1259.0 1418.7
  325.00  0.17232E+12 1143.2 1260.8 1422.1
  326.00  0.17346E+12 1143.4 1262.7 1425.5
  327.00  0.17451E+12 1143.5 1264.5 1428.9
